Comment,Likes
"Awesome movie. Awesome music, direction elame. Even the tiger looked like original. Avlo thathroobama irundhudhu.. not comparing with anyone. But still requesting new direction with new ideas inspite of the regular stories ..",1
Amazing flim❤❤❤❤❤❤,0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
❤❤❤,1
🎉❤❤❤❤,0
1:13 melts me😌❤️,47
Mind pa Oodite Iruku Song❤,1
Recently addicted ❤❤❤,0
❤,0
❤❤❤,0
❤ vera level feel bha,0
❤❤❤❤❤❤🌹🌹🌹🌹,0
From kerala but singers voice and music vere level,2
1:20 this lines❤️‍🩹,17
Feeling songs 😢,1
Hari Sankar voice is melting ❤,0
"Madhan Karky rocks 🎉, you are really great man ❤",3
Super song feel love ❤❤,0
❤,0
Whole movie starting to finish fully goosebumps 🔥🔥🔥,2
Royal salute to veer marati people. And our Ilaiyaraja sir is there unite Bharat people as one,0
"I heard all languages version, Tamil is top",4
11/11/2025💙,1
Why this song is so short !!,0
"Male : Vaeynguzhalil izhaindhaayadi
En kaadhaiyae!
Menmayangi kidandhaenadi
En boadhaiyae!

Male : Vael endraruthidum vizhigal
Irandil nee thaakkinaai
Undhan maarbai irukkidum thuniyaal
Enai nee kaidhaakkinaai
Ulagae poiyadi
Kanavae meiyadi
Adhil vaazhvomaa poongoadhaiyae..hoo

Female and Chorus : തീ എൻഡ്രേരിയും കാടൊൻഡ്രിൽ
കീച്ചാ കിളികൾ ഉറവാടാ
നീണ്ടേ വിരിയും വിസബെൻഡ്രെ
തീണ്ടാ യേക്കം വിരിന്താട്

Male : Vaeynguzhalil izhaindhaayadi
En kaadhaiyae!
Menmayangi kidandhaenadi
En boadhaiyae!

Male : Thurumbena ilaithival urumaara
Virundhaaga enai parimaara


Female : കരുങ്കനി ചുവയിനിൽ ഉയിർ ഊര
തുറന്തേനേ നാണം വെരിയേറ

Male : Nee innum innum innum innum vaendumae
Ena enadhidhazh unadhudal theendumae


Female : ഏ ഉനൈ ഇടയണി എന പൂണ്ടുവേൻ
നീ ഇറങ്കിടാ
 ഇരുദയം തൂണ്ടുമേ

Male : Urangaadhaeraeno
Uyiraai maaraenoaa
Valithaangaayoo poongoadhaiyae hoo

Female and Chorus : തീ എൻഡ്രേരിയും കാടൊൻഡ്രിൽ
കീച്ചാ കിളികൾ ഉറവാടാ
നീണ്ടേ വിരിയും വിസബെൻഡ്രെ
തീണ്ടാ യേക്കം വിരിന്താട്",1
Recent addicted,0
I found why the song was Excellent. Reason is lyrics is Madhan Karky🥵🔥🔥,5
Sound track super❤❤❤,1
"Congratulations to the wonderful music, lyrics, design, all the best to the film crew... ❤❤❤🎉🎉🎉",0
This song requires more views. After PS songs release this is the best Tamil melody in recent times,2
"கனகவதி - ரிஷப் செட்டி லவ் பண்ணும் போது என்னடா இது🤮🤮🤮🤮 அப்படித்தான் எனக்கு தோணுச்சு 😂.
 அது மட்டுமா அந்த குடிகார ராஜா தான் கனகவதி ஓட புருஷன் என்னடா இது கனகவதி கள்ளக்காதல் இருக்காங்களான்னு கூட நினைச்சேன்.😜
 அப்புறமா தான் தெரிஞ்சது அந்த குடிகாரன் ராஜா கனகவதி ஓட அண்ணன் என்று.
 கடைசி வரைக்கும் அந்த சின்ன பொண்ணு யாருன்னு சொல்லாமலே முடிச்சிட்டானுங்க. 😢",1
Latest adiitt,0
Sema feeling,0
I'm watching this daily atleast once 😅,2
Fav song❤❤❤❤❤❤,0
அப்பனா பத்தி தான் சொல்லுத என்னன்னு தெரியல ஆன என்னமோ சொல்லுது இந்த பாட்டு மறக்க முடியாத நினைவுகளை கொடுத்திருக்கு நிறைய மக்களுக்கு,0
Seme voice❤❤,1
இந்தப் பாட்ட கேட்கும் போது உள்ளுக்குள்ள ஏதோ ஒன்னு தோணுது பா😊😊😊 வேற மாதிரி இருக்கு,1
Super song ❤,0
"That music,Tamil lyrics evening in wonderful this song is marvelous....✨💗🌸☺️",0
"வேலென்றறுத்திடும் விழிகள் இரண்டில் நீ தாக்கினாய்!
உந்தன் மார்பை இருக்கிடும் துணியால் எனை நீ கைதாக்கினாய்!
உலகே பொய்யடி!
கனவே மெய்யடி!
அதில் வாழ்வோமா பூங்கோதையே....❤️ 
Now a days, it's rare to see these type of lyrics even in tamil songs also, but karky had made the most beautiful lyrics in a dubbed song!✨",8
Amazing song 🎉❤,0
0:16 BGM ❤Vera level,0
Absolutely all hail to the Kannada Movie Industry. But you need to hear this song in Tamil. The lyrics and voices match beyond perfect.,15
Ahhh ahhh❤❤❤❤,0
Wow🎉❤❤🎉,0
😢,0
